Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
2025/1/17,8:49:39,-2743949.539,4701350.11,3312921.783,5,11,7.2041,17.0747,6.1792,3.7996,9.3879,-3.0016,0,0,0.0412,0.12465,0.03195,0.26172,0.60976,0.2103,0.2673,0.31674,0.10642
2025/1/17,8:49:40,-2743950.186,4701349.433,3312921.56,5,11,7.2039,17.0784,6.1799,3.7966,9.39,-3.0023,0,0,0.03045,-0.08453,-0.0596,0.26172,0.60996,0.21034,0.26731,0.31685,0.10642
2025/1/17,8:49:41,-2743949.511,4701350.888,3312921.89,5,11,7.2037,17.082,6.1807,3.7936,9.3921,-3.0031,0,0,-0.00469,0.18901,0.03992,0.26172,0.61015,0.21038,0.26731,0.31695,0.10642
2025/1/17,8:49:42,-2743949.937,4701349.366,3312921.482,5,11,7.2035,17.0857,6.1815,3.7906,9.3942,-3.0038,0,0,0.05471,-0.17325,-0.10778,0.26172,0.61035,0.21042,0.26731,0.31705,0.10642
2025/1/17,8:49:43,-2743950.249,4701351.14,3312922.191,5,11,7.2033,17.0894,6.1822,3.7875,9.3963,-3.0045,0,0,-0.07148,-0.22761,-0.05912,0.26172,0.61055,0.21046,0.26731,0.31716,0.10642
2025/1/17,8:49:44,-2743950.054,4701354.732,3312923.106,5,11,7.2031,17.093,6.183,3.7845,9.3984,-3.0052,0,0,-0.01742,-0.0608,0.03561,0.26172,0.61074,0.2105,0.26732,0.31726,0.10642
2025/1/17,8:49:45,-2743950.225,4701354.51,3312923.045,5,11,7.2029,17.0967,6.1838,3.7815,9.4005,-3.0059,0,0,-0.03624,-0.40416,-0.11873,0.26171,0.61094,0.21054,0.26732,0.31736,0.10642
2025/1/17,8:49:46,-2743951.146,4701353.587,3312923.038,5,11,7.2027,17.1004,6.1846,3.7784,9.4026,-3.0066,0,0,0.12485,0.00959,-0.05581,0.26171,0.61113,0.21058,0.26732,0.31747,0.10641
2025/1/17,8:49:47,-2743951.747,4701353.806,3312923.215,5,11,7.2025,17.104,6.1853,3.7754,9.4047,-3.0073,0,0,-0.04407,0.25008,0.06271,0.26171,0.61133,0.21062,0.26733,0.31757,0.10641
2025/1/17,8:49:48,-2743951.454,4701355.071,3312923.725,5,11,7.2023,17.1077,6.1861,3.7723,9.4068,-3.0081,0,0,0.03316,0.26398,0.09371,0.26171,0.61153,0.21066,0.26733,0.31767,0.10641
